"Sample_Size","Parameter","True_Value","Mean_Estimate","Empirical_SD","Relative_Bias","Coverage_95","MSE"
500,"beta0_y",2,1.99944860527067,0.0610410379090426,-0.000275697364664151,0.95,0.00368905226207057
500,"beta1_y",0.5,0.500478491672313,0.026649671932305,0.00095698334462635,0.95,0.000703331918238962
500,"beta2_y",1,1.00048331054229,0.064768300067559,0.000483310542292781,0.9,0.00415321695578524
500,"rho",0.3,0.304460131322154,0.0514809933996695,0.0148671044071817,0.97,0.00264368252601351
500,"sd_b0",1,0.995453077497895,0.0495995776423525,-0.0045469225021052,0.95,0.00245619142551691
500,"sd_b1",0.6,0.601925331768883,0.0200111614025606,0.00320888628147109,0.97,0.000400149017292806
500,"sigma_y",1,1.00031522847223,0.0138361389401526,0.00031522847222698,0.9,0.000189623722353199
