covariate,beta_mean,beta_sd,beta_median,beta_CrI_2.5,beta_CrI_97.5,Significant_95CrI,parameter
Age (per 10-year increase),-0.8578559446782881,0.017340421307370693,-0.8580606412868695,-0.8911142795973546,-0.8232861939758245,TRUE,beta_long[1]
Cardiovascular condition (any; 1 vs 0),-0.1131541123206142,0.045832864291470085,-0.11339147379437109,-0.20140320563348396,-0.023501245961226422,TRUE,beta_long[2]
High blood pressure (1 vs 0),-0.08160081709113064,0.032297527508867434,-0.08162390598997096,-0.1443081219316953,-0.019303499704777946,TRUE,beta_long[3]
Diabetes (1 vs 0),-0.3151978344620928,0.06021213360781577,-0.31565180540145,-0.43377468235816513,-0.2005318740917445,TRUE,beta_long[4]
Stroke (1 vs 0),-0.47863920820944356,0.0940708940496391,-0.48142993652903643,-0.658364184319672,-0.29132664191831625,TRUE,beta_long[5]
Cancer (1 vs 0),0.15162094817262514,0.06410651631894311,0.15221195236385465,0.029208923089378634,0.2779506189113472,TRUE,beta_long[6]
Arthritis (1 vs 0),-0.06109783796156276,0.03389585052322129,-0.06173952590328745,-0.1269411819666797,0.006391163616510155,FALSE,beta_long[7]
Eyesight score (per 0.2-unit increase),-0.19539036478427937,0.014964279571719148,-0.1953922740621677,-0.2243651893949644,-0.16612975652948686,TRUE,beta_long[8]
