"Parameter","Estimate","Posterior_SD","Lower95","Upper95","Rhat","ESS","Replicate","N","N_long","N12","N13","N23","Max_Rhat","Min_ESS","Fit_Status"
"rho",0.27901759920119,0.0829651477013227,0.113733589995837,0.439410532489564,1.00002564292836,2078.70246075762,6,500,2140,248,149,123,1.03069312514669,108.773041205735,"success"
"sigma_y",1.03635375243511,0.0192120236555427,0.99969067234662,1.07497064249679,1.00017654140082,12946.6884717033,6,500,2140,248,149,123,1.03069312514669,108.773041205735,"success"
"lambda012",0.090086544576115,0.00663343940710912,0.0776529924952491,0.103627053518068,1.00011195334625,13981.6251705153,6,500,2140,248,149,123,1.03069312514669,108.773041205735,"success"
"lambda013",0.0428614545126493,0.00543132102316988,0.0326201317372723,0.0539356858437499,1.00018819112376,7024.51447326466,6,500,2140,248,149,123,1.03069312514669,108.773041205735,"success"
"lambda023",0.108241793236604,0.0122924211245083,0.0855186273081116,0.133727332047206,1.00037322556965,9449.27331769439,6,500,2140,248,149,123,1.03069312514669,108.773041205735,"success"
"gamma12",-0.498694012229359,0.0706773554292308,-0.636826775482248,-0.360006544919872,1.00056546889417,21675.8030745183,6,500,2140,248,149,123,1.03069312514669,108.773041205735,"success"
"gamma13",0.801113708578879,0.118260169743349,0.574348100710405,1.04052704597871,1.00126728395166,5615.38924851994,6,500,2140,248,149,123,1.03069312514669,108.773041205735,"success"
"gamma23",0.593709905787935,0.12522661817306,0.353692388470819,0.845206135656249,1.00087416807467,7877.88262649697,6,500,2140,248,149,123,1.03069312514669,108.773041205735,"success"
"alpha0_12",0.296344115560766,0.10495972036655,0.0920787322806329,0.50565531212335,1.00144447667371,6195.06406046738,6,500,2140,248,149,123,1.03069312514669,108.773041205735,"success"
"alpha0_13",1.07128587152534,0.187306776198664,0.725401834437656,1.46361722960313,1.00133181181953,2317.29941524974,6,500,2140,248,149,123,1.03069312514669,108.773041205735,"success"
"alpha0_23",0.803048479316758,0.215936842860253,0.41108817332415,1.25878962513707,1.00136588464081,2336.32573500061,6,500,2140,248,149,123,1.03069312514669,108.773041205735,"success"
"alpha1_12",0.133171333881909,0.135351980450226,-0.135043118308227,0.397728370576028,1.00061816116566,9929.03993072035,6,500,2140,248,149,123,1.03069312514669,108.773041205735,"success"
"alpha1_13",-0.044380502887902,0.279735369225541,-0.602397947648265,0.492455743235272,1.00106374984497,2200.01278634403,6,500,2140,248,149,123,1.03069312514669,108.773041205735,"success"
"alpha1_23",0.0660369299724579,0.250979747370914,-0.454014438643018,0.529726552551846,1.0015576976125,3233.86337838993,6,500,2140,248,149,123,1.03069312514669,108.773041205735,"success"
"beta0_y",1.94664412427732,0.0709380438791165,1.80788230529853,2.08726815074404,1.00053658056001,2120.55601094273,7,500,2331,229,155,118,1.00824818327598,86.2023138804181,"success"
"beta1_y",0.538917251861171,0.0391568093270028,0.459430235562392,0.613944891945589,1.00824818327598,86.2023138804181,7,500,2331,229,155,118,1.00824818327598,86.2023138804181,"success"
