transition,from,to,lambda0_mean,lambda0_sd,lambda0_median,lambda0_CrI_2.5,lambda0_CrI_97.5
0->1,0,1,0.07966353586736363,0.0015160940613636459,0.079655596416398,0.07673055548362492,0.08265125736053236
0->2,0,2,0.0018963146065940487,2.3634165924425296e-4,0.0018855893155037533,0.0014670796849237655,0.0023872649443073416
0->3,0,3,4.2068085752310937e-4,1.0895751567171227e-4,4.1131198347465006e-4,2.3873793389335855e-4,6.598197473431328e-4
1->0,1,0,0.1395440696380058,0.0033718939677797187,0.13950040475634962,0.13310811673121026,0.14619780677815217
1->2,1,2,0.031058292531895727,0.0012972552714791252,0.03105709616936721,0.028550280551711018,0.03361070484999236
1->3,1,3,0.0010720975120385862,2.527457976950997e-4,0.0010470003789283507,6.468927416138686e-4,0.001616926516171168
2->0,2,0,0.008407405377105014,0.0025354982219658283,0.008141153516540765,0.004264007625620563,0.014124413245426497
2->1,2,1,0.17458328484654045,0.01024938715668836,0.1744847883607677,0.15505189153135088,0.19527592201884134
2->3,2,3,0.007140943985943061,0.001776315900602028,0.006949161832063502,0.004187346411386092,0.011076592131374477
