parameter,mean,sd,median,CrI_2.5,CrI_97.5
beta0_y,4.841296105902029,0.02121363924583552,4.84097579543443,4.800026730801008,4.883308066975519
beta_time_y,-0.039522041210268574,0.0018010178331178725,-0.039531768657099946,-0.04304720729180962,-0.036047784481549716
sigma_y,1.3519125733206623,0.0046919007815558736,1.351847245491507,1.3428264290282,1.361143349731212
sigma_b0,1.3492587532312499,0.014098327335516372,1.3492503241700653,1.3220639484535812,1.3770423257103201
sigma_b1,0.09566035233539003,0.002221499356020911,0.09569105086212668,0.0912780083714554,0.10004967265912204
rho,-0.16760203897660642,0.022662179577684814,-0.16786877943816156,-0.21225190879026468,-0.12187022044658295
